제품,상세설명,구매LINK,catalog down,보호종류,제품군,통신여부,통신종류,내장 ZCT,과전류/저전류,결상,역상,누설(지락),단락,과전압/저전압,전력,,,,,,,,
EGR-10USVM,MODBUS-RTU 8Pin Flush mounted,https://smartstore.naver.com/htengineering/products/11687583887,https://blog.naver.com/ht-eng/223827545946,전류,Digital,비통신,불가,X,불가,불가,불가,가능,불가,불가,불가,,,,,,,,
EGR-20UFCM,MODBUS-RTU 12Pin Flush mounted,https://smartstore.naver.com/htengineering/products/11687596453,https://blog.naver.com/ht-eng/223827545946,전류,Digital,비통신,불가,X,불가,불가,불가,가능,불가,불가,불가,,,,,,,,
EGR-20USAM,"MODBUS-RTU 8Pin Socket, Current ZCT",https://smartstore.naver.com/htengineering/products/11687615538,https://blog.naver.com/ht-eng/223827545946,전류,Digital,비통신,불가,X,불가,불가,불가,가능,불가,불가,불가,,,,,,,,
EOCR3DEV-05DUH,"3DE, 05A/100-240V,OL+AL,Hole",X,X,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3DEV-05DUT,"3DE, 05A/100-240V,OL+AL,TB",X,X,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3DEV-80DUH,"3DE, 80A/100-240V,OL+AL,Hole",X,X,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3DEV-80DUT,"3DE, 80A/100-240V,OL+AL,TB",X,X,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3E420-05DUH,EOCR-3E420 WR DC/AC 110~220,https://smartstore.naver.com/htengineering/products/11687835974,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3E420-05DUT,EOCR-3E420 WR DC/AC 110~220,https://smartstore.naver.com/htengineering/products/11687879095,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3E420-80DUH,EOCR-3E420 WR DC/AC 110~220,https://smartstore.naver.com/htengineering/products/11687871197,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3E420-80DUT,EOCR-3E420 WR DC/AC 110~220,https://smartstore.naver.com/htengineering/products/11687888093,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCR3EZ-05AUH,"3EZ, 05A/100-240V,OL+GR(E),Hole",https://smartstore.naver.com/htengineering/products/11687947642,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
